,path,value
493,./dimensions/0/topics/5/indicators/1/outlier,False
494,./dimensions/0/topics/5/indicators/2/code,i3040
495,./dimensions/0/topics/5/indicators/2/sourceVersion,3
496,./dimensions/0/topics/5/indicators/2/weight,2
497,./dimensions/0/topics/5/indicators/2/value,3
498,./dimensions/0/topics/5/indicators/2/minValue,0
499,./dimensions/0/topics/5/indicators/2/maxValue,3
500,./dimensions/0/topics/5/indicators/2/level,6
501,./dimensions/0/topics/5/indicators/2/transfValue,100.0
502,./dimensions/0/topics/5/indicators/2/valueExists,1
503,./dimensions/0/topics/5/indicators/2/digits,0
504,./dimensions/0/topics/5/indicators/2/outlier,False
505,./dimensions/0/topics/5/indicators/3/code,i3041
506,./dimensions/0/topics/5/indicators/3/sourceVersion,3
507,./dimensions/0/topics/5/indicators/3/weight,2
508,./dimensions/0/topics/5/indicators/3/value,True
509,./dimensions/0/topics/5/indicators/3/minValue,False
510,./dimensions/0/topics/5/indicators/3/maxValue,True
511,./dimensions/0/topics/5/indicators/3/level,6
512,./dimensions/0/topics/5/indicators/3/transfValue,100
513,./dimensions/0/topics/5/indicators/3/valueExists,1
514,./dimensions/0/topics/5/indicators/4/code,i3134
515,./dimensions/0/topics/5/indicators/4/sourceVersion,3
516,./dimensions/0/topics/5/indicators/4/weight,2
517,./dimensions/0/topics/5/indicators/4/value,3
518,./dimensions/0/topics/5/indicators/4/minValue,0
519,./dimensions/0/topics/5/indicators/4/maxValue,3
520,./dimensions/0/topics/5/indicators/4/level,6
521,./dimensions/0/topics/5/indicators/4/transfValue,100.0
522,./dimensions/0/topics/5/indicators/4/valueExists,1
523,./dimensions/0/topics/5/indicators/4/digits,0
524,./dimensions/0/topics/5/indicators/4/outlier,False
525,./dimensions/0/topics/5/indicators/5/code,i4035
526,./dimensions/0/topics/5/indicators/5/sourceVersion,3
527,./dimensions/0/topics/5/indicators/5/weight,2
528,./dimensions/0/topics/5/indicators/5/value,39.94161431704838
529,./dimensions/0/topics/5/indicators/5/minValue,0
530,./dimensions/0/topics/5/indicators/5/maxValue,100
531,./dimensions/0/topics/5/indicators/5/level,6
532,./dimensions/0/topics/5/indicators/5/transfValue,39.94
533,./dimensions/0/topics/5/indicators/5/valueExists,1
534,./dimensions/0/topics/5/indicators/5/digits,2
535,./dimensions/0/topics/5/indicators/5/outlier,False
536,./dimensions/0/topics/5/indicators/6/code,i4036
537,./dimensions/0/topics/5/indicators/6/sourceVersion,3
538,./dimensions/0/topics/5/indicators/6/weight,1
539,./dimensions/0/topics/5/indicators/6/value,45
540,./dimensions/0/topics/5/indicators/6/minValue,0
541,./dimensions/0/topics/5/indicators/6/maxValue,140
542,./dimensions/0/topics/5/indicators/6/level,2
543,./dimensions/0/topics/5/indicators/6/transfValue,32.14
544,./dimensions/0/topics/5/indicators/6/valueExists,1
545,./dimensions/0/topics/5/indicators/6/digits,0
546,./dimensions/0/topics/5/indicators/6/outlier,False
547,./dimensions/0/topics/6/code,t205
548,./dimensions/0/topics/6/level,7
549,./dimensions/0/topics/6/score,91.67
550,./dimensions/0/topics/6/weight,12
551,./dimensions/0/topics/6/position,0
552,./dimensions/0/topics/6/indicators/0/code,i4024
553,./dimensions/0/topics/6/indicators/0/sourceVersion,3
554,./dimensions/0/topics/6/indicators/0/weight,3
555,./dimensions/0/topics/6/indicators/0/value,6
556,./dimensions/0/topics/6/indicators/0/minValue,0
557,./dimensions/0/topics/6/indicators/0/maxValue,6
558,./dimensions/0/topics/6/indicators/0/level,7
559,./dimensions/0/topics/6/indicators/0/transfValue,100.0
560,./dimensions/0/topics/6/indicators/0/valueExists,1
561,./dimensions/0/topics/6/indicators/0/digits,0
562,./dimensions/0/topics/6/indicators/0/outlier,False
563,./dimensions/0/topics/6/indicators/1/code,i4025
564,./dimensions/0/topics/6/indicators/1/sourceVersion,3
565,./dimensions/0/topics/6/indicators/1/weight,3
566,./dimensions/0/topics/6/indicators/1/value,9
567,./dimensions/0/topics/6/indicators/1/minValue,0
568,./dimensions/0/topics/6/indicators/1/maxValue,9
569,./dimensions/0/topics/6/indicators/1/level,7
570,./dimensions/0/topics/6/indicators/1/transfValue,100.0
571,./dimensions/0/topics/6/indicators/1/valueExists,1
