Município;Analfabeto;Até 5 Incompleto;5 Completo Fundamental;6 a 9 Fundamental;Fundamental Completo;Médio Incompleto;Médio Completo;Superior Incompleto;Superior Completo;Mestrado;Doutorado;Total
PA-NOVA ESPERANCA DO PIRIA;8;17;4;30;100;18;372;7;339;0;0;895
PA-NOVA IPIXUNA;14;45;28;60;71;43;481;17;308;0;0;1067
PA-NOVA TIMBOTEUA;23;34;18;32;95;37;731;21;233;0;0;1224
PA-NOVO PROGRESSO;45;170;97;271;782;476;2333;203;676;5;1;5059
PA-NOVO REPARTIMENTO;19;234;32;219;407;139;2399;56;1063;0;0;4568
PA-OBIDOS;20;322;103;415;829;318;2798;63;621;0;0;5489
PA-OEIRAS DO PARA;1;0;575;3;44;10;211;4;239;0;0;1087
PA-ORIXIMINA;8;200;73;314;995;212;5635;281;1456;8;0;9182
PA-OUREM;2;11;8;14;77;54;595;6;283;0;0;1050
PA-OURILANDIA DO NORTE;15;131;77;171;420;175;2266;78;618;6;0;3957
PA-PACAJA;17;84;73;176;405;124;1422;26;333;2;0;2662
PA-PALESTINA DO PARA;11;34;15;76;37;54;192;4;86;0;0;509
PA-PARAGOMINAS;247;1381;624;1304;2428;1210;12709;608;2996;32;9;23548
PA-PARAUAPEBAS;135;1168;775;2871;6616;3294;46766;1147;8109;52;23;70956
PA-PAU D ARCO;9;73;50;53;43;25;294;13;151;0;5;716
PA-PEIXE-BOI;12;8;14;68;45;25;354;4;84;0;0;614
PA-PICARRA;46;233;87;163;226;96;536;11;320;0;0;1718
PA-PLACAS;3;5;9;31;92;21;408;18;172;0;1;760
PA-PONTA DE PEDRAS;9;23;14;38;202;124;951;34;563;2;0;1960
PA-PORTEL;48;99;36;640;705;138;1236;68;1010;5;0;3985
PA-PORTO DE MOZ;10;50;27;102;283;89;853;15;465;1;1;1896
PA-PRAINHA;0;8;6;46;208;44;735;91;494;0;0;1632
PA-PRIMAVERA;0;15;11;32;60;29;381;14;169;0;0;711
PA-QUATIPURU;1;6;0;42;20;32;212;0;115;0;1;429
PA-REDENCAO;69;453;302;879;1310;1268;9525;470;2118;50;11;16455
PA-RIO MARIA;49;161;269;228;257;230;1817;41;374;0;0;3426
PA-RONDON DO PARA;40;366;132;358;364;187;2229;74;683;0;0;4433
PA-RUROPOLIS;2;20;17;63;294;104;1262;29;389;138;0;2318
PA-SALINOPOLIS;16;80;57;236;603;295;2903;72;473;5;0;4740
PA-SALVATERRA;1;20;15;51;118;85;746;22;480;0;0;1538
PA-SANTA BARBARA DO PARA;7;37;52;167;281;119;1145;12;551;1;0;2372
PA-SANTA CRUZ DO ARARI;4;11;1;5;18;6;306;4;89;0;0;444
PA-SANTA IZABEL DO PARA;43;440;299;889;1166;1324;5619;177;828;2;2;10789
PA-SANTA LUZIA DO PARA;9;15;25;97;127;64;538;8;231;1;1;1116
PA-SANTA MARIA DAS BARREIRAS;36;270;127;308;215;195;924;35;303;0;0;2413
PA-SANTA MARIA DO PARA;13;33;29;109;232;158;1358;20;268;1;0;2221
PA-SANTANA DO ARAGUAIA;57;408;190;557;591;473;3168;112;767;2;0;6325
PA-SANTAREM;56;282;306;715;2070;1650;35936;1434;5546;391;343;48729
PA-SANTAREM NOVO;0;2;4;7;266;10;145;15;146;0;0;595
PA-SANTO ANTONIO DO TAUA;12;163;62;259;368;339;1136;27;546;2;0;2914
PA-SAO CAETANO DE ODIVELAS;0;24;6;116;241;62;531;8;345;0;1;1334
PA-SAO DOMINGOS DO ARAGUAIA;10;52;35;300;106;77;1095;18;524;0;5;2222
