,Codigo,Nome,Nivel,Governança Colaborativa - Responsáveis,Incorporação de TICs - Planejamento,Planejamento Estratégico para Transformação Digital,Governança de TI - Práticas,Infraestrutura de Hw e Sw - Armazenamento,Gestão Integrada de Dados,Serviços Públicos On-line,Solicitação de Serviços Públicos,Segurança de Políticas Públicas - Monitoramento,Percepção dos Serviços Públicos,Transparência - Monitoramento,Transparência - Execução Orçamentária e Financeira,Transparência dos Dados - Disponibilização,Segurança dos Dados - Práticas
Valor,3513850,Dirce Reis,2,,,,,,,7,4,,0,,5,9,
Valor,2203354,Dirceu Arcoverde,2,,,,,,,0,4,,0,,4,8,
Valor,2802007,Divina Pastora,2,,,,,,,10,7,,0,,4,10,
Valor,3121902,Divinésia,2,,,,,,,7,4,,0,,4,8,
Valor,3122009,Divino,2,,,,,,,7,5,,0,,4,8,
Valor,3122108,Divino das Laranjeiras,2,,,,,,,5,4,,0,,5,8,
Valor,3201803,Divino de São Lourenço,3,,,,,,,14,5,,1,,5,9,
Valor,3513900,Divinolândia,2,,,,,,,12,5,,0,,4,10,
Valor,3122207,Divinolândia de Minas,2,,,,,,,5,6,,1,,4,5,
Valor,3122306,Divinópolis,2,,,,,,,12,6,,0,,5,8,
Valor,5208301,Divinópolis de Goiás,2,,,,,,,15,4,,0,,5,9,
Valor,1707108,Divinópolis do Tocantins,2,,,,,,,6,3,,0,,5,8,
Valor,3122355,Divisa Alegre,2,,,,,,,9,1,,0,,4,8,
Valor,3122405,Divisa Nova,2,,,,,,,7,4,,0,,5,8,
Valor,3122454,Divisópolis,2,,,,,,,3,2,,0,,5,8,
Valor,3514007,Dobrada,2,,,,,,,8,6,,0,,5,8,
Valor,3514106,Dois Córregos,2,,,,,,,11,5,,0,,5,9,
Valor,4306403,Dois Irmãos,3,,,,,,,16,5,,1,,5,9,
Valor,4306429,Dois Irmãos das Missões,2,,,,,,,4,1,,0,,4,9,
Valor,5003488,Dois Irmãos do Buriti,2,,,,,,,10,4,,0,,5,9,
Valor,1707207,Dois Irmãos do Tocantins,2,,,,,,,9,4,,0,,5,8,
Valor,4306452,Dois Lajeados,2,,,,,,,8,4,,0,,4,8,
Valor,2702504,Dois Riachos,2,,,,,,,3,3,,0,,5,8,
Valor,4107207,Dois Vizinhos,2,,,,,,,12,4,,0,,5,9,
Valor,3514205,Dolcinópolis,2,,,,,,,8,3,,0,,5,9,
Valor,5103601,Dom Aquino,2,,,,,,,4,4,,0,,5,9,
Valor,2910107,Dom Basílio,2,,,,,,,6,6,,0,,5,8,
Valor,3122470,Dom Bosco,2,,,,,,,7,2,,1,,4,8,
Valor,3122504,Dom Cavati,2,,,,,,,5,4,,0,,5,9,
Valor,1502939,Dom Eliseu,2,,,,,,,7,6,,0,,4,9,
Valor,2203404,Dom Expedito Lopes,2,,,,,,,0,1,,0,,4,8,
Valor,4306502,Dom Feliciano,3,,,,,,,9,5,,1,,5,9,
Valor,3201902,Domingos Martins,2,,,,,,,14,4,,0,,5,9,
